Mon Jul 28 16:31:13 2025    timing.txt

         217305285 function calls (215635255 primitive calls) in 129.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   13.495   13.495   41.022   41.022 cutting_reconstruction.py:32(reconstruct_expectation_values)
   855/26    0.025    0.000   39.204    1.508 aer_compiler.py:875(_assemble_op)
 10616832   12.332    0.000   23.610    0.000 cutting_reconstruction.py:198(_process_outcome_v2)
 53084160    6.207    0.000    9.286    0.000 bitwise.py:25(bit_count)
      373    0.004    0.000    6.048    0.016 __init__.py:1(<module>)
  2629/36    0.001    0.000    5.505    0.153 passmanager.py:461(wrapper)
        5    0.000    0.000    5.504    1.101 passmanager.py:171(run)
        5    0.011    0.002    5.504    1.101 passmanager.py:172(run)
        2    0.000    0.000    5.503    2.752 passmanager.py:433(run)
     2593    0.019    0.000    5.493    0.002 passmanager.py:270(_run_workflow)
38944/2593    0.079    0.000    5.014    0.002 base_tasks.py:202(execute)
    96347    0.159    0.000    4.825    0.000 base_tasks.py:72(execute)
    36416    0.026    0.000    4.429    0.000 basepasses.py:189(execute)
     2593    0.933    0.000    3.480    0.001 {method 'join' of 'bytes' objects}
 53084160    3.079    0.000    3.079    0.000 {method 'bit_count' of 'int' objects}
 21258871    2.883    0.000    2.883    0.000 {built-in method from_bytes}
 10619424    1.822    0.000    2.547    0.000 backend_sampler_v2.py:312(<genexpr>)
     5185    0.005    0.000    2.484    0.000 basis_translator.py:116(run)
     5185    0.949    0.000    2.479    0.000 {base_run}
        1    0.015    0.015    2.263    2.263 cutting_experiments.py:36(generate_cutting_experiments)
     2592    0.011    0.000    1.677    0.001 decompose.py:28(decompose_qpd_instructions)
 2935/268    0.007    0.000    1.643    0.006 <frozen importlib._bootstrap>:1349(_find_and_load)
  2678/22    0.005    0.000    1.642    0.075 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  2570/24    0.004    0.000    1.640    0.068 <frozen importlib._bootstrap>:911(_load_unlocked)
  2463/24    0.003    0.000    1.640    0.068 <frozen importlib._bootstrap_external>:1020(exec_module)
  5730/45    0.002    0.000    1.632    0.036 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
 10636448    1.467    0.000    1.467    0.000 {built-in method numpy.zeros}
     2592    0.107    0.000    1.401    0.001 decompose.py:169(_decompose_qpd_instructions)
